Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Australia on Collins,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South)
01/04/2018,0,303,216,1081,966,800,892,79,32,48,26,29,70,-1,248,421,197,64,47,577,-1,1015,832,104,313,182,275,38,297,167,911,322,undefined,30,48,1003,438,42,-1,29,99,33,33,15,642,1189,3,378,35,70,50,37,408
01/04/2018,1,205,125,773,855,433,657,30,12,20,27,7,34,-1,229,274,135,30,13,426,-1,900,486,56,193,69,211,22,99,63,683,120,undefined,23,25,521,369,26,-1,30,42,22,18,9,414,952,7,347,56,70,21,11,306
01/04/2018,2,95,20,20,130,326,296,59,7,33,18,5,14,-1,295,26,43,18,22,145,-1,555,419,50,99,5,103,28,82,44,390,17,undefined,9,14,305,306,15,-1,11,19,9,5,9,193,480,2,151,29,24,8,22,130
01/04/2018,3,84,61,245,230,165,190,9,10,35,14,1,8,-1,121,81,51,8,4,117,-1,625,228,59,69,35,85,8,42,21,237,15,undefined,7,11,83,91,5,-1,10,8,1,6,4,99,305,7,130,16,23,4,11,76
01/04/2018,4,46,38,118,109,95,186,25,5,13,11,4,5,-1,67,27,29,9,6,73,-1,292,218,42,85,39,40,11,44,13,134,20,undefined,7,2,103,80,9,-1,6,7,2,2,2,86,143,2,97,15,3,6,5,51
01/04/2018,5,25,26,72,94,81,149,10,8,18,10,6,10,-1,77,55,30,10,6,43,-1,103,159,33,91,36,62,7,55,18,71,1,undefined,6,9,87,31,4,-1,2,4,5,3,3,69,219,5,102,15,32,6,45,23
01/04/2018,6,94,51,94,140,137,220,40,15,33,14,9,39,-1,120,50,33,28,11,41,-1,96,260,47,152,78,73,23,111,104,50,10,undefined,30,19,211,24,12,-1,60,17,13,9,8,108,264,1,115,41,34,12,44,23
01/04/2018,7,92,90,195,175,237,328,104,49,51,18,27,90,-1,151,73,84,60,22,41,-1,80,484,73,310,106,179,37,224,109,81,18,undefined,37,49,475,32,23,-1,58,22,27,9,10,155,395,8,281,65,60,38,37,64
01/04/2018,8,261,199,384,377,468,594,101,131,107,39,47,187,-1,215,220,262,107,60,165,99,135,634,144,603,202,336,88,596,210,168,52,undefined,82,84,941,71,51,-1,84,78,41,28,18,315,581,15,431,159,144,88,47,111
01/04/2018,9,929,616,677,793,909,1061,258,132,143,39,80,357,-1,365,351,461,188,113,234,168,297,1081,250,813,458,801,174,920,326,270,104,undefined,70,99,1588,114,64,-1,159,151,49,43,39,522,1121,29,832,301,330,112,199,233
01/04/2018,10,1513,1199,1027,1358,1648,1422,472,228,145,77,104,522,-1,463,720,892,239,132,591,390,525,1547,264,1142,831,1207,276,1569,593,466,135,undefined,73,135,2052,120,73,-1,159,213,115,84,39,901,1898,43,1399,497,513,236,206,345
01/04/2018,11,2307,1720,1608,2052,2452,1614,655,265,122,67,127,534,-1,572,1037,975,246,146,870,692,689,1752,242,1074,1072,1524,279,2227,669,673,215,undefined,76,154,2595,178,116,-1,125,191,146,74,46,1133,2396,29,1615,642,792,378,329,468
01/04/2018,12,2858,2169,2282,2566,2861,1787,805,282,124,92,152,719,-1,551,1438,1300,265,161,1103,1139,982,1967,210,983,1379,1773,368,2538,983,1010,334,undefined,74,144,3136,113,189,-1,130,190,156,86,60,1797,2825,48,2042,690,931,504,346,519
01/04/2018,13,3355,2457,2390,2896,3169,1860,890,245,150,113,264,809,-1,539,1715,1228,250,119,1691,1072,1167,2168,233,1115,1609,1511,345,2794,847,1107,364,undefined,89,116,3266,131,299,-1,232,181,165,107,71,1849,3107,49,2108,665,729,431,334,556
01/04/2018,14,3798,2641,2554,3280,3476,2089,854,353,160,95,307,1355,-1,670,1839,1337,245,145,1583,828,1174,2431,220,1335,1674,1372,237,2810,315,1050,406,undefined,136,212,3773,154,256,-1,173,143,187,109,57,1970,3411,36,1866,708,643,382,362,469
01/04/2018,15,3483,2762,2325,2867,3363,2181,968,305,137,57,259,813,-1,748,1940,1147,181,118,1402,780,1123,2278,200,1124,1742,1162,263,2821,1352,1068,420,undefined,88,138,3539,153,290,-1,125,206,141,123,83,1904,3027,43,1886,603,648,470,268,535
01/04/2018,16,3389,2593,2206,2868,3151,2118,742,246,118,42,185,598,-1,627,1954,1039,223,91,1266,601,1139,2336,237,1036,1564,628,169,2910,1219,918,397,undefined,126,220,3406,134,253,-1,150,185,138,92,53,2041,2889,27,1813,391,254,366,163,537
01/04/2018,17,3156,1999,2455,2695,3265,2019,540,241,120,82,215,727,-1,690,2075,836,291,173,1534,934,1276,2225,192,1200,1456,487,132,2082,1050,1318,421,undefined,114,209,3805,170,321,-1,134,229,126,94,69,2070,3097,37,1852,204,189,363,123,587
01/04/2018,18,2564,1262,2900,2393,3150,1943,357,341,188,138,251,1120,-1,626,1825,731,354,134,1695,1259,1501,2163,331,1443,1176,546,132,2168,889,1447,646,undefined,127,173,3997,163,421,-1,137,285,130,76,46,2214,2734,46,1952,192,124,474,174,520
01/04/2018,19,1564,764,2705,2335,2605,1828,180,112,116,78,134,454,-1,583,1704,633,338,107,1763,1564,1890,2064,271,885,493,569,144,2066,507,1566,787,undefined,92,134,3832,172,538,-1,125,241,89,69,46,2469,2566,38,1265,182,115,388,132,464
01/04/2018,20,932,679,2264,2365,2459,1532,126,124,97,80,185,449,-1,485,1333,537,209,120,1606,1349,1630,1692,257,772,491,453,100,1706,482,1431,768,undefined,103,141,3176,165,513,-1,74,212,76,55,37,2268,2386,27,1011,134,90,297,115,443
01/04/2018,21,666,397,1938,1690,2420,1491,147,119,88,90,128,335,-1,453,1116,443,162,86,1218,903,1242,1518,224,588,296,412,87,1350,575,1087,679,undefined,70,121,2638,166,406,-1,111,175,63,53,24,1684,2272,26,871,123,112,234,132,317
01/04/2018,22,516,329,1479,1475,1549,1168,81,53,97,63,74,246,-1,399,687,240,106,53,821,597,1045,1058,145,529,269,327,64,845,240,831,404,undefined,63,73,1692,199,214,-1,41,124,40,43,29,989,1480,25,611,80,69,139,47,259
01/04/2018,23,331,182,950,793,955,882,30,75,32,40,31,121,-1,290,424,125,82,42,504,354,789,889,106,439,166,226,44,595,109,570,260,undefined,54,43,906,166,101,-1,70,74,40,34,12,536,1040,17,344,52,90,30,66,265
02/04/2018,0,159,94,575,453,350,398,60,19,43,23,19,40,-1,149,202,67,13,13,297,109,480,363,63,184,132,193,15,156,63,423,151,undefined,6,26,469,104,25,-1,11,66,13,19,14,212,499,7,248,26,109,31,31,135
02/04/2018,1,129,55,385,511,179,210,31,5,30,3,5,16,-1,81,107,93,12,12,206,73,326,228,32,41,83,158,33,68,43,239,39,undefined,11,17,209,79,4,-1,3,29,20,11,3,201,396,1,154,39,65,7,14,76
02/04/2018,2,66,48,245,282,77,104,18,5,17,5,4,7,-1,41,60,40,10,2,93,68,165,147,22,39,51,91,16,39,21,182,13,undefined,5,13,102,100,5,-1,2,8,4,1,5,73,227,2,76,4,48,3,13,41
02/04/2018,3,59,40,199,197,75,76,24,2,14,9,1,5,-1,34,50,12,3,6,79,42,128,78,14,38,23,61,4,44,23,118,3,undefined,1,10,63,66,3,-1,1,11,15,9,7,50,138,1,82,9,33,3,10,49
02/04/2018,4,44,22,76,221,97,100,10,2,24,9,1,3,-1,35,20,47,5,4,55,20,111,103,16,40,14,59,2,63,26,100,20,undefined,2,3,67,65,4,-1,2,8,2,-1,2,55,173,-1,88,14,34,9,15,20
02/04/2018,5,23,13,75,79,100,119,13,5,21,7,-1,4,-1,56,32,28,18,14,48,30,52,126,19,75,27,34,6,33,17,52,22,undefined,9,6,52,12,10,-1,3,3,-1,-1,1,32,96,1,42,18,10,8,10,11
02/04/2018,6,59,41,67,102,84,192,55,19,36,12,6,30,-1,74,28,29,28,9,35,29,36,156,35,217,50,44,10,54,36,33,12,undefined,21,37,180,15,2,-1,29,20,12,8,5,53,177,1,74,21,26,4,16,27
02/04/2018,7,82,66,170,174,154,306,72,63,53,14,19,83,-1,89,67,67,49,31,66,39,97,270,91,336,112,93,27,65,101,72,24,undefined,20,40,423,31,13,-1,42,32,18,11,9,95,267,7,143,31,45,16,20,37
02/04/2018,8,283,183,365,347,275,564,117,94,109,12,30,122,-1,189,162,169,110,60,138,101,123,518,131,543,178,217,37,177,136,149,54,undefined,48,33,781,38,38,-1,66,64,59,34,20,236,500,18,267,69,52,61,46,85
02/04/2018,9,865,576,591,728,792,837,301,158,141,49,41,225,-1,293,293,368,147,83,214,169,225,1043,189,745,351,324,63,562,274,225,122,undefined,75,88,1279,69,61,-1,95,102,94,63,44,419,1046,49,720,100,110,202,62,177
02/04/2018,10,1461,1163,957,1433,1911,1252,501,208,124,46,69,288,-1,409,693,724,191,111,508,399,465,1445,283,1076,668,546,111,1479,501,386,143,undefined,89,107,1893,138,100,-1,131,166,184,108,73,748,1736,84,982,183,183,304,113,316
02/04/2018,11,2651,1906,1664,1977,2566,1624,762,266,99,75,114,359,-1,562,1117,1058,243,135,910,662,805,1894,248,970,1082,694,148,2343,855,634,265,undefined,95,133,2621,162,181,-1,127,205,161,115,59,1131,2498,89,1468,233,236,413,131,468
02/04/2018,12,3154,2382,2216,2866,3131,1921,1152,263,163,72,151,466,-1,586,1545,1340,294,159,1388,1026,972,2156,239,1433,1213,764,135,2955,1169,929,534,undefined,152,212,3605,182,308,-1,145,257,235,183,83,1518,3256,159,1813,241,192,473,182,623
02/04/2018,13,3638,2728,2588,3268,3502,2054,2230,308,151,79,161,518,-1,868,1972,1354,298,173,1677,1015,1243,2652,251,1386,1496,682,142,3532,1368,1090,586,undefined,132,241,4034,146,370,-1,147,275,236,205,105,1873,3725,120,1828,286,172,498,156,632
02/04/2018,14,3663,2768,2615,3258,3586,2315,4065,303,126,83,173,449,-1,927,1959,1396,299,164,1531,782,1343,2599,300,1245,1688,620,141,3285,1229,998,614,undefined,121,206,4556,198,332,-1,87,279,209,163,124,2022,3838,89,1894,262,177,520,149,582
02/04/2018,15,3627,2489,2603,2933,3251,2179,1264,220,142,57,161,488,-1,660,1982,1191,225,93,1326,676,1251,2478,232,1108,1557,523,145,2870,1258,923,623,undefined,126,191,3487,163,329,-1,98,190,162,115,87,1781,3111,87,1807,182,191,475,146,563
02/04/2018,16,3232,2330,2229,2709,2815,2104,721,277,141,49,158,499,-1,657,2011,897,198,104,1307,513,1062,2376,220,1127,1373,497,112,2105,1040,938,502,undefined,123,145,3108,123,277,-1,76,209,176,114,82,1618,2887,67,1646,187,152,490,132,476
02/04/2018,17,3015,1823,2451,2477,2511,2092,727,188,142,69,139,535,-1,681,1975,692,185,131,1355,646,1217,2389,261,1132,1185,555,132,1602,903,891,527,undefined,115,140,2960,117,234,-1,68,149,212,121,121,1627,2672,105,1682,182,158,449,119,454
02/04/2018,18,2270,1095,3150,2403,2404,2221,4962,208,168,87,132,456,-1,866,1766,591,436,130,1561,1079,1288,2204,271,1552,962,556,123,1155,1219,1159,651,undefined,344,755,4361,113,355,-1,126,257,219,145,90,1715,2978,105,1715,196,110,420,134,512
02/04/2018,19,1294,608,2539,1691,1786,1453,410,128,135,81,140,391,-1,528,1383,563,156,92,1372,1115,1345,1794,344,1039,371,455,97,747,376,1064,684,undefined,89,131,2678,76,379,-1,115,138,157,131,92,1753,2102,43,1016,151,87,355,114,377
02/04/2018,20,624,364,2061,1265,1193,1224,120,76,87,55,100,295,-1,397,1170,318,132,75,1126,893,1072,1334,181,717,247,393,81,442,249,883,771,undefined,48,74,1999,88,356,-1,44,144,116,80,53,1292,1650,28,702,117,171,252,95,305
02/04/2018,21,482,236,1698,839,892,957,85,84,81,24,81,219,-1,329,817,313,80,45,901,575,822,990,167,552,293,325,69,291,172,701,509,undefined,49,71,1341,62,258,-1,52,99,64,57,42,1002,1349,26,533,100,95,168,69,258
02/04/2018,22,289,162,856,522,770,800,66,32,59,21,62,156,-1,256,422,159,61,45,497,383,619,851,96,417,120,227,50,414,110,447,285,undefined,34,34,987,58,74,-1,48,60,40,56,31,592,914,17,418,83,97,83,50,123
02/04/2018,23,139,90,497,337,301,517,37,18,39,13,38,76,-1,147,222,64,44,18,272,214,380,458,66,252,56,174,43,86,54,245,107,undefined,12,19,397,32,25,-1,19,28,27,28,11,270,472,19,252,38,64,27,36,82
03/04/2018,0,62,42,302,141,100,171,21,5,19,5,10,32,-1,80,106,39,11,7,125,91,226,175,34,102,40,146,18,42,41,105,45,undefined,12,10,176,10,19,-1,4,19,22,13,7,105,177,6,133,32,58,11,26,38
03/04/2018,1,59,41,131,65,85,49,29,2,14,13,-1,4,-1,13,69,26,16,12,93,48,148,78,5,25,17,115,16,19,11,95,22,undefined,3,4,63,6,12,-1,4,9,9,2,1,57,98,-1,65,8,44,7,3,27
03/04/2018,2,12,11,33,34,35,59,11,2,8,1,2,3,-1,30,38,5,9,2,39,32,79,69,9,19,10,57,3,16,5,53,10,undefined,-1,2,33,5,5,-1,3,7,5,1,1,23,85,3,40,5,28,3,10,9
03/04/2018,3,14,12,39,44,42,14,9,6,13,2,1,9,-1,6,11,10,6,3,41,29,62,50,4,32,5,37,3,35,8,30,19,undefined,-1,6,37,5,1,-1,7,1,2,3,1,17,55,1,54,8,18,3,10,8
03/04/2018,4,12,19,34,29,65,85,22,4,8,9,2,5,-1,41,18,8,19,2,13,32,37,60,8,26,48,23,3,53,8,52,6,undefined,5,4,41,2,3,-1,13,5,4,-1,-1,41,89,-1,37,16,25,6,2,10
03/04/2018,5,52,24,103,75,138,212,21,32,101,16,3,10,-1,100,37,19,55,34,14,54,65,131,55,200,50,67,9,132,39,26,18,undefined,6,23,136,20,15,-1,18,11,3,2,3,35,202,5,68,15,26,7,6,22
03/04/2018,6,102,83,154,173,362,726,131,100,474,108,10,78,-1,225,75,130,190,155,23,20,76,631,238,795,211,122,37,375,110,40,21,undefined,86,46,595,94,14,-1,77,84,26,17,20,154,381,16,204,55,31,25,30,55
03/04/2018,7,338,271,359,446,998,2091,516,340,2092,356,44,202,-1,656,294,402,752,666,101,84,156,1424,715,2436,556,278,100,1114,375,174,90,undefined,269,125,1695,270,50,-1,300,254,60,47,34,460,1234,44,603,162,86,64,55,233
03/04/2018,8,718,652,642,1009,1825,4298,706,514,3823,549,56,337,-1,1317,630,932,1922,1658,222,145,307,2486,1403,4348,700,466,176,1481,619,578,107,undefined,594,270,3533,698,99,-1,809,772,120,94,66,917,2489,164,1107,228,182,149,97,705
03/04/2018,9,1071,812,752,1205,1224,2009,361,247,1586,389,36,193,-1,586,635,873,1089,801,220,186,327,1795,741,2520,374,673,151,935,325,297,138,undefined,330,202,1926,569,88,-1,600,555,148,131,89,723,1950,149,1206,258,228,183,138,558
03/04/2018,10,1479,1244,1074,1719,1516,1393,370,159,605,214,52,237,-1,393,774,1268,707,494,394,240,462,1796,552,1737,497,918,226,1214,417,462,174,undefined,223,200,1509,534,130,-1,440,604,211,132,76,957,2195,141,1312,345,385,315,183,510
03/04/2018,11,2432,1900,1716,2301,2105,1581,620,231,644,200,44,221,-1,494,1154,1460,678,404,695,410,841,2100,547,1686,586,1246,261,1785,540,651,193,undefined,187,177,1815,522,174,-1,406,580,227,187,83,1272,3016,159,1621,549,509,352,206,677
03/04/2018,12,3609,3210,2555,3640,2706,2339,733,599,1162,417,121,398,-1,657,1718,2320,1616,580,1309,921,1359,2882,1063,2305,885,1743,302,2236,959,1155,355,undefined,357,275,3458,1029,286,-1,1159,967,317,276,109,2355,3799,253,2633,663,731,440,279,1185
03/04/2018,13,4132,3631,2664,3986,2871,2468,751,586,1020,438,149,485,-1,684,2015,2446,1558,691,1435,806,1453,3173,1070,2399,1123,1651,318,2640,1019,1145,419,undefined,384,336,3713,905,329,-1,1124,885,298,253,152,2482,4325,270,2641,694,655,469,326,1230
03/04/2018,14,3459,2887,2512,3640,3009,2186,680,278,705,271,89,333,-1,560,1890,1936,839,463,1256,645,1279,2834,572,1898,1076,1128,225,2561,984,861,369,undefined,227,197,2666,620,250,-1,485,603,248,220,131,1929,4012,184,2202,509,469,550,255,898
03/04/2018,15,3481,2704,2529,3428,2786,2193,543,263,1025,204,84,334,-1,693,1971,1664,736,529,1152,612,1133,3052,465,2233,1081,743,183,2426,906,873,323,undefined,310,213,2766,571,230,-1,357,457,260,191,132,2032,3920,150,2258,376,263,426,191,824
03/04/2018,16,3422,2466,2544,3377,2935,3257,552,393,2449,402,72,356,-1,924,2009,1528,697,954,1004,518,1215,3373,705,3584,1227,613,167,2482,831,793,344,undefined,443,237,3326,578,184,-1,381,516,228,175,142,1828,3807,146,2366,273,155,388,112,752
03/04/2018,17,3487,2379,2648,3445,3815,5319,910,635,3468,746,87,476,-1,1703,2275,1481,1209,1659,1198,742,1463,4162,1202,5049,1543,645,241,2921,1173,1018,405,undefined,597,328,4803,770,240,-1,593,641,272,227,208,2259,4667,202,2367,326,139,399,172,932
03/04/2018,18,2633,1478,2830,3008,2827,3098,557,425,1375,402,117,454,-1,1000,1967,976,720,715,1403,939,1373,3343,626,2942,1028,640,197,2135,808,1133,411,undefined,236,203,3448,439,252,-1,337,363,246,208,168,2214,3840,144,1931,247,128,420,204,614
03/04/2018,19,1600,796,2388,2013,2003,1843,217,163,402,166,103,313,-1,551,1580,656,338,252,1299,1004,1424,2342,323,1477,401,494,122,1607,401,1012,495,undefined,104,140,2314,210,224,-1,183,264,183,166,122,1744,2618,47,1405,184,101,332,137,554
03/04/2018,20,688,453,1967,1685,1846,1415,135,91,195,131,75,218,-1,401,1216,441,244,163,1187,911,1236,1684,212,865,256,367,120,1687,275,946,508,undefined,96,118,1803,146,202,-1,83,173,116,101,64,1700,2101,41,878,156,100,356,83,396
03/04/2018,21,598,304,1620,1634,1397,1146,97,74,83,82,65,221,-1,275,918,422,169,116,880,669,937,1479,207,685,169,346,82,854,273,810,405,undefined,67,82,1420,174,150,-1,90,126,95,88,45,1557,2053,27,585,116,94,267,67,337
03/04/2018,22,278,191,1032,803,979,881,53,59,86,44,28,90,-1,272,483,241,91,69,590,344,670,949,114,489,116,229,53,661,131,475,222,undefined,44,79,768,67,77,-1,58,80,74,49,29,763,1212,27,380,69,67,118,51,226
03/04/2018,23,182,99,655,596,395,588,53,26,41,9,22,51,-1,200,233,109,36,27,271,207,438,594,73,291,35,201,51,206,38,370,159,undefined,25,18,397,49,28,-1,26,49,40,39,18,422,719,20,230,60,59,37,41,96
04/04/2018,0,72,33,339,254,133,195,25,20,17,12,18,33,-1,75,98,34,15,9,126,75,251,157,26,117,28,121,24,46,27,155,64,undefined,8,11,156,23,17,-1,15,25,20,15,6,132,315,10,147,27,55,13,18,44
04/04/2018,1,55,31,155,78,61,88,15,5,16,4,4,17,-1,48,52,7,8,7,77,70,134,78,15,48,23,85,15,24,23,104,30,undefined,3,2,82,7,9,-1,13,21,17,6,4,59,160,2,72,16,34,4,21,21
04/04/2018,2,44,19,42,78,39,40,7,1,1,6,6,15,-1,11,28,10,15,3,50,40,98,48,14,8,8,62,4,15,9,96,5,undefined,2,2,63,15,2,-1,3,7,6,1,1,39,63,1,57,10,20,6,16,18
04/04/2018,3,43,38,45,29,46,24,10,4,1,12,3,9,-1,5,20,9,6,4,28,36,70,41,5,16,8,33,3,41,1,51,4,undefined,1,-1,19,11,2,-1,4,2,4,2,2,34,52,5,45,7,33,2,3,19
04/04/2018,4,29,16,32,36,56,50,44,6,12,10,7,10,-1,33,25,13,12,5,35,21,47,64,10,30,6,38,1,47,7,25,12,undefined,5,7,24,2,11,-1,11,8,6,5,2,30,79,2,47,8,13,8,16,8
04/04/2018,5,39,33,75,73,135,256,37,43,113,23,1,18,-1,94,45,28,48,29,15,35,27,141,45,231,61,61,11,110,26,33,15,undefined,10,20,145,21,7,-1,12,17,15,2,6,46,171,5,70,21,14,5,8,22
04/04/2018,6,101,67,187,206,390,703,175,140,531,86,21,77,-1,254,90,135,225,151,34,22,88,625,242,828,265,78,33,358,124,56,22,undefined,80,85,674,94,11,-1,99,81,37,27,20,136,488,18,253,45,41,20,29,62
04/04/2018,7,363,272,404,573,1052,2294,485,402,2101,370,52,254,-1,689,308,458,853,804,97,82,179,1471,731,2452,694,234,87,1067,419,167,69,undefined,275,143,1943,282,41,-1,330,277,77,71,47,480,1336,45,579,111,93,90,77,235
04/04/2018,8,842,629,742,1128,1981,4544,723,573,3794,547,88,382,-1,1252,837,999,2007,1653,265,188,361,2750,1553,4394,740,410,149,2169,778,479,145,undefined,613,262,3663,716,106,-1,810,835,444,249,161,1142,2556,165,1234,222,109,147,97,734
04/04/2018,9,1110,783,874,1187,1311,2124,343,234,1822,357,42,225,-1,565,701,978,1185,852,221,183,413,1808,773,2752,474,514,129,1178,387,385,151,undefined,362,209,2045,548,101,-1,637,583,214,248,146,743,2015,223,1103,211,163,234,151,594
04/04/2018,10,1656,1235,1105,1445,2137,1602,430,146,647,248,42,198,-1,429,888,1157,793,545,431,305,464,1811,615,1640,501,605,144,1968,494,444,148,undefined,303,228,1662,504,183,-1,427,568,249,234,109,979,2556,175,1279,263,220,345,176,540
04/04/2018,11,2362,1835,1822,2154,2599,1764,735,219,654,226,58,246,-1,526,1287,1561,792,545,774,394,793,2199,634,1820,641,733,198,2199,656,680,298,undefined,267,210,2136,568,185,-1,415,632,322,300,146,1370,3242,200,1638,358,288,396,176,651
04/04/2018,12,3729,3354,2741,3713,3361,2738,978,702,1257,512,128,512,-1,638,1858,2507,1822,677,1404,848,1609,2935,1164,2570,963,1217,258,3083,991,1289,383,undefined,490,350,4114,1082,332,-1,1109,1006,444,387,167,2404,4126,358,2440,467,451,413,245,1194
04/04/2018,13,4221,3805,2925,4171,3307,2787,1030,524,1152,449,172,538,-1,677,2242,2566,1740,720,1394,835,1584,3392,1093,2554,1088,1199,263,3224,1163,1290,446,undefined,551,346,3891,1110,337,-1,1116,894,521,392,198,2567,4443,248,2821,441,418,463,265,1183
04/04/2018,14,3641,2913,2625,3610,3101,2457,810,265,733,292,75,368,-1,596,1969,1901,813,485,1108,615,1181,2898,595,1972,982,763,203,3015,1107,909,386,undefined,306,204,3015,722,259,-1,526,609,406,287,124,2070,4004,210,2245,366,274,396,166,891
04/04/2018,15,3344,2575,2414,3547,3056,2662,804,301,1104,304,98,352,-1,715,1948,1616,713,555,1055,544,1116,2997,570,2331,1081,630,176,2795,900,827,390,undefined,259,179,2865,556,236,-1,366,565,323,292,161,1956,3911,160,2153,338,257,387,167,802
04/04/2018,16,3294,2482,2483,3253,3184,3475,733,364,2371,460,83,364,-1,950,1913,1508,680,940,1085,535,1120,3369,790,3619,1208,726,229,2520,999,874,345,undefined,457,259,3610,680,198,-1,412,501,375,240,193,1782,3990,169,2237,525,288,404,181,802
04/04/2018,17,3736,2432,2893,3622,4113,5512,1091,625,3445,731,100,379,-1,1751,2483,1581,1215,1615,1224,717,1531,4122,1262,4909,1461,1114,277,2996,1236,1071,365,undefined,577,378,5042,821,230,-1,579,594,447,320,244,2429,4973,239,2712,1043,457,490,267,945
04/04/2018,18,2783,1732,2809,3092,2986,3485,816,456,1519,390,115,430,-1,1017,1997,1008,752,789,1461,990,1503,3377,633,3010,920,1363,361,2231,859,1220,470,undefined,267,239,3929,538,214,-1,396,421,312,287,211,2189,3897,147,2179,1372,675,475,335,712
04/04/2018,19,1530,780,2587,2046,2204,1955,284,164,442,168,80,302,-1,547,1620,641,339,269,1332,1121,1427,2383,342,1429,326,1381,315,1941,384,1069,497,undefined,161,146,2498,346,206,-1,174,319,252,205,138,1712,2572,69,1503,1313,784,386,337,480
04/04/2018,20,877,459,2119,1758,1676,1601,147,89,204,104,113,318,-1,428,1321,468,269,141,1128,1178,1127,1908,250,874,228,1179,242,1473,303,950,664,undefined,79,95,1972,236,247,-1,140,249,142,117,94,1761,2145,43,955,1061,569,337,318,433
04/04/2018,21,586,314,1645,1567,1612,1385,125,111,135,100,64,204,-1,346,888,445,210,110,842,600,922,1460,140,785,187,863,168,1286,264,701,458,undefined,58,105,1460,204,212,-1,95,164,131,100,80,1367,2037,60,693,683,381,262,206,287
04/04/2018,22,397,234,976,912,1047,978,350,45,88,43,34,111,-1,294,580,198,165,82,576,413,797,1215,138,529,180,446,130,671,206,562,227,undefined,61,90,952,124,83,-1,90,94,95,73,52,844,1334,28,576,302,243,184,120,194
04/04/2018,23,195,133,624,667,507,552,207,39,44,33,23,82,-1,188,299,138,92,36,311,275,547,712,66,326,74,251,64,218,107,356,151,undefined,50,38,499,72,45,-1,46,47,66,54,25,395,890,26,230,113,101,31,69,102
05/04/2018,0,78,56,364,285,156,244,18,13,19,14,10,21,-1,70,122,53,25,10,163,124,239,213,22,125,31,143,37,56,48,202,70,undefined,12,14,186,39,23,-1,9,26,46,32,22,112,269,2,166,67,53,22,28,66
05/04/2018,1,50,43,159,286,76,72,10,2,10,2,1,15,-1,17,78,31,12,9,91,71,137,111,13,77,25,74,8,36,23,116,34,undefined,8,6,70,18,14,-1,5,4,15,8,7,75,211,6,78,10,47,3,37,28
05/04/2018,2,29,17,91,90,47,64,7,1,2,1,1,10,-1,16,32,19,7,6,68,57,106,82,13,23,14,55,7,15,15,87,7,undefined,-1,1,52,6,6,-1,21,2,14,7,4,28,113,-1,50,5,45,6,14,18
05/04/2018,3,27,11,78,67,59,40,10,-1,1,6,1,4,-1,25,49,12,6,5,62,39,77,83,16,27,12,50,3,31,11,81,4,undefined,-1,3,57,11,2,-1,1,2,-1,-1,-1,12,48,-1,45,6,17,3,11,13
05/04/2018,4,10,22,49,59,60,90,24,7,5,2,1,2,-1,43,14,18,9,12,48,14,59,51,12,17,13,40,4,56,3,46,17,undefined,9,6,36,9,11,-1,16,35,1,-1,1,37,51,7,63,15,27,6,8,5
05/04/2018,5,39,20,79,66,135,256,25,45,116,15,3,10,-1,98,22,19,45,22,14,57,36,126,39,214,81,75,12,96,37,39,2,undefined,19,36,174,20,12,-1,19,19,15,8,4,44,186,7,90,22,8,6,10,9
05/04/2018,6,124,64,192,191,384,922,200,145,668,84,16,89,-1,291,84,148,230,161,31,12,91,554,256,912,230,129,33,299,168,65,28,undefined,83,72,822,88,9,-1,113,124,58,29,25,145,509,24,226,67,37,20,27,56
05/04/2018,7,326,270,453,468,990,2274,500,340,2265,352,50,226,-1,660,335,493,821,720,85,54,151,1278,717,2565,575,318,97,874,371,221,69,undefined,251,123,1871,204,44,-1,325,292,81,64,50,454,1296,81,600,155,121,76,54,240
05/04/2018,8,831,605,823,1108,1837,4595,818,534,3902,550,68,380,-1,1392,720,941,1928,1621,263,147,371,2559,1410,4396,863,543,194,1496,644,462,150,undefined,595,295,3690,752,101,-1,801,755,214,192,142,974,2570,248,1194,270,195,154,144,793
05/04/2018,9,999,708,846,1173,1457,2298,386,238,1858,397,44,195,-1,578,685,963,1283,829,219,139,354,1611,795,2667,550,747,171,1312,400,302,162,undefined,423,188,1970,588,110,-1,579,647,254,230,125,808,2078,245,1098,264,272,263,152,596
