Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
1/04/2016,0,237,59,34,53,386,375,120,101,74,12,21,25,11,13,239,274,82,54,157,325,123,68,329,59,258,198,24,116,310,62,26,27,19,16,27,743,41,265,58,21,19,14
1/04/2016,1,123,30,24,29,210,416,48,56,17,6,5,4,3,10,114,99,33,17,90,143,54,22,237,15,119,113,11,73,238,45,5,17,9,29,16,394,10,171,51,15,8,8
1/04/2016,2,49,13,11,31,144,372,55,34,24,2,0,5,0,1,60,67,33,20,51,137,47,24,187,10,53,54,15,32,134,9,11,17,5,5,10,293,10,55,23,6,6,3
1/04/2016,3,34,4,10,8,110,93,43,35,18,2,2,11,3,1,56,31,16,17,48,98,31,2,231,24,55,41,4,41,148,10,7,7,18,7,7,175,8,34,13,13,3,3
1/04/2016,4,42,7,4,11,96,104,60,36,5,0,2,1,0,2,58,50,30,24,58,72,74,13,152,33,45,30,13,61,109,10,6,4,3,0,7,213,1,49,12,5,2,5
1/04/2016,5,32,67,30,117,90,86,37,15,25,58,17,14,6,30,126,187,73,34,88,138,189,38,85,58,24,10,13,117,72,9,9,28,21,21,9,343,21,72,39,12,6,5
1/04/2016,6,64,218,155,692,146,185,98,74,82,452,103,64,19,127,296,726,245,160,144,418,662,225,108,199,31,21,32,348,65,31,92,59,69,58,11,660,60,171,91,37,22,20
1/04/2016,7,264,743,682,2194,362,435,292,217,305,1290,303,155,29,202,807,1693,460,395,349,1028,1832,612,164,426,77,72,91,802,126,89,221,131,193,195,53,1529,195,555,246,63,74,59
1/04/2016,8,641,1750,1536,4838,714,990,731,576,789,2648,498,252,54,339,1590,3692,1151,875,653,2209,3566,1230,302,640,144,132,158,1472,363,202,498,266,517,591,113,3076,574,1344,521,289,257,117
1/04/2016,9,630,1217,945,2500,839,1209,1011,711,778,1337,330,228,51,198,1208,2061,558,336,682,1714,2098,794,316,466,204,156,133,1122,218,140,373,204,553,492,118,2588,545,1052,404,198,332,153
1/04/2016,10,813,839,485,1052,1140,1825,1653,1256,1096,530,247,151,48,165,1660,1496,403,351,874,1546,1738,577,416,470,349,195,207,1589,363,184,236,174,441,452,122,2905,461,1121,490,235,337,154
1/04/2016,11,1197,722,482,895,1755,2412,2550,2198,1579,451,256,200,57,247,1989,1734,506,586,1077,1982,1612,534,631,586,729,324,200,1671,523,265,263,228,337,474,169,3806,639,1635,577,357,392,167
1/04/2016,12,1977,1644,670,1208,2845,3368,3915,3278,2223,1189,626,415,147,592,2496,2515,659,821,1828,2762,2451,1089,1487,827,1368,742,282,2369,1140,347,363,311,972,883,492,4772,1113,2445,926,442,359,168
1/04/2016,13,2118,1663,685,1386,3052,4291,4433,3809,2525,1194,612,401,147,552,2621,2799,700,978,1812,3114,2415,958,1429,916,1405,690,305,2317,1119,545,314,349,977,1023,459,5280,843,2895,1122,463,386,158
1/04/2016,14,1962,966,515,1014,2755,4052,3928,3323,1886,641,331,305,97,301,2519,2488,544,1212,1245,2849,1964,597,1075,937,1164,511,194,2174,768,444,259,255,511,581,353,5525,603,2569,909,367,312,142
1/04/2016,15,1888,689,613,1292,2533,3933,3653,3113,1735,876,286,269,88,280,2669,2702,737,759,1019,2865,2232,478,945,1010,1116,488,202,2329,730,523,268,240,311,479,342,5396,679,2348,956,363,346,170
1/04/2016,16,2127,860,896,2123,2572,3912,3770,3102,1664,1641,428,344,99,430,2850,3148,997,1284,981,3236,3040,637,1132,1043,1085,495,175,2164,860,447,351,353,293,543,272,5832,578,2815,833,345,399,211
1/04/2016,17,2501,1357,1539,3280,3006,4395,4382,3191,1838,2062,531,362,109,497,4021,4633,1499,1951,784,3754,3991,766,1290,1429,1286,710,191,2902,1185,456,441,456,471,798,369,6759,635,3960,1137,423,403,216
1/04/2016,18,2281,874,787,1403,3360,4028,3863,2429,1430,925,369,423,118,323,4188,3513,1192,3489,653,3293,2638,502,1607,1124,1672,1065,181,3322,1232,523,423,422,399,547,400,6468,445,4008,1063,341,423,219
1/04/2016,19,1800,500,417,636,2839,3329,2942,1810,1083,351,237,427,140,221,2931,2295,697,2939,504,2393,1529,367,1543,814,1664,1221,150,2379,1281,685,286,274,202,389,442,5067,298,3496,770,263,266,144
1/04/2016,20,1544,446,254,379,2707,2966,2252,1280,741,175,145,337,161,152,2480,1890,533,418,426,1736,1041,324,1670,606,1657,1474,98,1681,1569,886,151,134,197,270,511,4245,319,3289,515,210,165,104
1/04/2016,21,1265,300,157,260,2495,2642,1547,642,561,112,127,301,84,96,2835,1837,500,348,371,1616,795,211,1420,537,1369,1152,122,2417,1157,952,100,141,132,254,561,3922,269,3198,508,127,121,51
1/04/2016,22,933,344,184,196,2083,2067,788,482,432,95,87,189,80,78,2807,1706,627,4876,276,1487,729,191,1231,394,1108,962,65,1951,1139,756,375,641,149,355,318,4093,292,2438,732,76,75,56
1/04/2016,23,763,316,188,211,1746,1701,513,351,523,87,73,171,19,62,1625,1415,490,1421,435,1394,683,269,1088,415,842,551,92,742,1003,664,193,317,99,358,215,4076,241,2498,344,64,92,65
2/04/2016,0,482,121,75,96,1079,1039,241,288,227,31,34,70,18,16,842,910,347,191,260,1026,338,120,808,186,548,454,35,296,669,273,54,110,37,287,74,2361,135,990,161,41,33,25
2/04/2016,1,327,62,42,54,698,861,215,177,126,26,25,30,3,16,493,556,237,193,254,488,196,97,464,119,318,264,21,126,511,130,27,43,19,260,29,1868,56,545,97,33,21,33
2/04/2016,2,122,26,10,53,422,572,125,92,67,10,22,17,3,12,261,337,160,71,206,382,137,39,499,53,196,168,23,70,263,53,19,17,6,252,35,1507,19,362,60,14,8,8
2/04/2016,3,96,10,11,38,286,658,69,103,50,11,7,16,3,2,178,210,93,22,185,314,119,43,405,39,126,131,24,48,262,32,8,16,8,129,20,1040,11,184,39,4,5,5
2/04/2016,4,61,17,5,17,139,351,44,47,21,2,4,0,0,2,116,168,102,89,167,165,55,19,276,19,63,26,13,31,117,13,5,11,11,28,9,595,4,116,75,3,2,0
2/04/2016,5,35,37,13,24,100,292,47,33,24,19,6,2,3,6,100,171,78,20,99,106,63,18,213,22,60,19,14,63,63,14,7,10,27,21,12,367,13,66,27,5,5,3
2/04/2016,6,40,49,21,51,98,112,63,31,27,69,9,16,5,44,108,238,97,50,201,176,161,47,171,42,37,20,32,69,69,17,22,34,30,16,15,412,6,71,34,12,11,5
2/04/2016,7,106,73,34,127,246,232,124,99,46,64,40,33,10,44,175,401,145,173,227,274,314,88,106,207,61,9,72,114,62,35,59,31,80,28,17,624,11,168,120,28,27,25
2/04/2016,8,158,138,80,180,341,375,325,210,199,69,38,104,14,66,343,507,189,173,456,673,665,168,121,222,85,53,142,296,141,49,109,34,58,121,50,1031,66,255,156,57,50,54
2/04/2016,9,275,200,111,294,555,962,813,584,530,107,40,140,34,93,984,945,332,266,759,1026,822,220,180,340,186,91,238,879,240,100,112,92,138,131,97,1563,74,485,239,118,105,71
2/04/2016,10,515,164,138,290,797,1591,1600,1359,849,150,63,135,32,125,1235,1197,385,244,1125,1353,1142,271,378,455,361,180,338,999,397,153,93,110,159,163,151,2405,166,729,287,129,142,81
2/04/2016,11,902,307,165,270,1225,2375,2538,2150,1164,142,64,206,54,194,1933,1441,485,709,1487,1759,1197,265,654,733,672,429,339,2016,565,256,119,178,123,211,178,3635,205,1453,605,169,178,79
2/04/2016,12,1299,327,174,285,2028,2937,2979,2588,1290,151,127,390,102,224,2180,1534,592,3340,1746,2151,1222,304,764,959,1082,577,380,1913,687,373,162,262,143,222,266,4175,187,2016,844,256,170,105
2/04/2016,13,1739,445,239,256,2517,3543,3407,3055,1488,118,121,385,122,184,2790,1709,586,2267,1768,2352,1256,313,1011,980,1345,660,391,2953,1025,472,166,242,118,182,319,4514,259,2415,1085,209,202,110
2/04/2016,14,1841,350,177,244,2487,3446,3644,3387,1461,227,99,344,88,199,2572,1851,575,1037,1694,2319,1142,304,1153,1075,1318,553,347,2571,861,498,133,261,155,179,297,4330,216,2489,1011,244,261,136
2/04/2016,15,1884,392,240,229,2478,3449,3929,3371,1390,131,111,287,95,236,2646,1870,603,639,1396,2568,1209,258,1044,1107,1257,514,267,2358,859,544,162,211,139,206,428,4483,230,2517,1179,229,224,135
2/04/2016,16,1895,375,235,237,2405,3502,3819,3195,1430,159,99,478,171,240,2877,2159,643,1878,728,2431,1359,402,1194,1154,1291,523,157,2823,942,560,215,333,147,252,382,4587,365,2853,1129,209,207,142
2/04/2016,17,2020,611,224,226,2613,3602,3507,2797,994,197,98,712,137,271,2968,2323,790,4189,543,2602,1606,324,1212,1064,1292,684,161,1995,958,631,320,533,160,199,428,4974,422,3024,1385,242,229,147
2/04/2016,18,1636,576,239,256,2791,3177,2779,1879,769,212,210,1250,215,305,3150,2241,716,669,534,2239,1556,377,1522,1067,1598,1127,186,2786,1239,724,245,269,190,140,560,4553,447,3161,1257,182,201,117
2/04/2016,19,1521,393,190,219,2964,2610,2063,923,662,138,123,670,115,154,2647,1881,543,364,497,1970,1121,310,1698,690,1704,1415,119,1644,1276,1005,157,194,202,177,699,4032,460,2875,1176,193,161,97
2/04/2016,20,1484,401,192,166,2593,2585,1119,640,561,85,102,293,69,69,2702,1583,481,246,381,1593,770,270,1609,492,1516,1472,105,2036,1503,1054,117,213,179,187,782,3751,280,3165,646,136,100,64
2/04/2016,21,1215,256,154,182,2262,2433,895,456,524,107,110,365,67,86,2484,1683,522,172,360,1381,793,235,1471,393,1380,1175,94,1655,1074,1216,101,165,159,180,700,3579,263,3063,387,117,108,57
2/04/2016,22,857,255,131,173,1994,1778,847,516,494,147,242,913,101,277,2198,1433,504,175,345,1238,1154,378,1362,557,1045,1052,70,1399,1129,1017,125,202,107,291,454,3273,480,2216,1015,89,79,58
2/04/2016,23,681,159,134,188,1530,1644,596,376,391,71,93,129,44,53,1585,1359,440,185,271,1137,742,178,1036,292,721,798,78,604,998,645,98,147,62,392,274,2944,161,1933,560,81,82,56
3/04/2016,0,358,94,52,119,973,1123,328,241,274,48,45,59,23,27,1032,1124,363,119,219,862,454,165,870,252,568,486,24,456,994,405,53,82,43,429,146,2425,85,968,171,23,29,27
3/04/2016,1,283,37,47,78,733,1012,230,178,140,31,29,34,12,11,504,579,265,57,206,573,227,93,651,189,389,373,48,122,857,142,25,40,28,387,40,2055,55,567,77,12,19,16
3/04/2016,2,11,39,28,53,89,44,111,10,52,20,14,25,1,6,22,314,205,52,117,310,109,34,498,4,149,156,18,60,375,55,23,30,20,345,10,1294,36,387,72,25,15,13
3/04/2016,3,54,17,6,51,224,298,81,85,69,8,6,14,0,4,158,268,115,20,82,212,96,38,455,19,119,86,11,48,439,26,7,5,5,355,4,967,21,128,19,6,3,0
3/04/2016,4,44,21,7,11,86,163,28,44,15,4,3,4,0,0,142,184,102,18,73,112,73,33,163,11,47,24,12,60,181,23,12,15,5,122,6,533,27,66,19,4,5,6
3/04/2016,5,48,17,7,10,80,98,57,32,42,5,0,0,0,6,119,140,63,21,41,128,69,16,83,11,42,16,3,91,108,22,7,8,2,22,5,458,9,90,21,1,3,3
3/04/2016,6,47,27,11,15,87,130,49,39,18,25,9,20,5,8,72,234,119,38,75,195,177,49,72,44,49,24,21,72,65,11,16,21,38,22,9,447,16,84,54,9,6,4
3/04/2016,7,95,45,35,43,185,211,96,80,77,43,15,56,7,50,186,262,108,124,184,312,348,81,67,98,59,31,56,195,82,27,33,40,33,25,24,654,45,148,121,25,15,19
3/04/2016,8,172,130,84,128,314,343,269,226,207,68,36,185,36,99,351,605,207,243,420,567,606,132,144,248,178,63,96,506,149,75,98,97,64,65,36,929,76,361,287,50,47,40
3/04/2016,9,343,213,90,176,617,767,825,585,403,133,73,278,51,183,775,1016,349,341,831,974,751,281,266,473,226,152,177,850,256,155,123,125,127,114,67,1572,139,626,423,91,110,67
3/04/2016,10,666,246,130,217,1005,1468,1593,1366,767,110,81,473,96,210,1846,1294,454,559,1289,1370,975,297,400,734,460,307,319,1928,340,208,123,149,150,182,126,2423,176,1131,664,113,105,71
3/04/2016,11,1021,300,146,233,1576,2022,2597,2042,1059,132,78,711,154,251,2287,1599,534,759,1561,1846,1033,235,773,820,874,535,403,2288,612,321,124,224,114,158,187,3334,295,1593,897,154,146,105
3/04/2016,12,1433,452,172,220,2109,2778,3110,2472,1136,109,74,665,167,204,2973,1742,588,951,1777,1898,1031,243,848,1029,1316,817,491,2960,753,394,138,194,126,153,356,4096,371,2279,1095,196,198,126
3/04/2016,13,1808,348,161,171,2580,3345,3609,2796,1153,103,106,625,170,252,3003,1773,566,1549,1950,2353,1101,252,1080,1116,1459,821,450,2997,878,634,140,245,94,162,401,4623,291,2284,1384,215,181,116
3/04/2016,14,2040,352,135,221,2430,3311,3649,2898,1142,95,127,731,207,235,3095,2136,740,2911,1645,2480,1243,232,1061,1281,1291,645,438,2826,738,728,260,328,84,203,390,4594,289,2714,1369,227,196,156
3/04/2016,15,2110,321,165,232,2445,3235,3588,2858,1243,122,105,1086,263,295,3152,2118,682,2054,1198,2285,1499,237,1118,1266,1202,558,360,2893,737,707,241,281,111,126,390,4410,401,2693,1552,233,184,129
3/04/2016,16,1724,297,132,227,2216,2893,3413,2497,941,138,99,784,160,279,2721,2048,657,1572,728,2328,1451,287,989,1046,1045,469,214,2535,761,632,170,195,81,168,306,4147,250,2349,1145,194,189,126
3/04/2016,17,1690,309,171,176,2367,2671,2789,1843,700,105,101,333,101,183,2563,1889,613,1307,517,2184,1085,237,1227,837,1183,709,179,2275,877,709,130,219,130,111,343,4024,386,2915,971,273,197,125
3/04/2016,18,1317,395,153,172,2354,2192,1715,977,525,107,116,339,112,178,2103,1620,565,3627,497,1871,994,256,1005,634,1260,915,142,1698,851,719,236,388,126,116,425,3648,349,1947,772,242,210,120
3/04/2016,19,1056,275,86,143,2231,2078,1238,543,435,162,233,815,132,167,2132,1354,306,639,424,1645,1313,297,1159,358,1310,951,125,1870,996,680,100,151,96,95,468,3131,210,2270,408,127,138,77
3/04/2016,20,897,207,106,122,1828,1866,604,331,385,52,69,246,51,49,1457,1018,327,836,318,1164,593,197,961,239,1107,855,79,1203,691,718,66,136,92,72,413,2845,202,2284,289,139,116,67
3/04/2016,21,572,158,83,101,1273,1122,413,207,228,53,61,155,46,39,1607,942,326,1452,262,1101,475,153,707,143,695,552,69,1319,641,555,115,108,83,67,273,2296,340,1127,269,74,81,56
3/04/2016,22,396,100,50,89,883,900,232,185,146,40,47,72,20,26,721,740,234,70,215,690,319,113,451,110,417,314,62,388,391,338,45,84,21,43,77,1469,87,725,128,60,58,39
3/04/2016,23,171,69,21,86,467,421,148,88,73,29,25,57,11,4,326,428,158,38,124,401,229,87,252,71,241,140,27,93,334,153,36,45,13,17,50,1007,40,123,50,60,48,36
4/04/2016,0,104,10,9,30,166,388,74,59,37,9,17,34,2,10,122,226,47,38,79,208,100,37,185,27,138,45,23,60,194,117,9,6,11,14,22,432,15,106,17,26,21,8
4/04/2016,1,48,5,5,11,103,230,45,33,12,2,2,0,0,2,47,55,29,15,52,84,31,7,177,15,73,22,18,15,125,36,2,2,5,6,13,230,8,62,15,11,6,3
4/04/2016,2,44,11,0,29,44,341,23,17,2,4,4,2,0,0,36,44,25,27,33,39,9,15,51,15,39,11,12,15,102,11,1,3,12,9,7,142,5,24,8,5,2,3
4/04/2016,3,24,8,2,16,50,213,27,15,11,2,4,6,6,1,40,17,6,14,39,39,22,2,72,5,32,6,6,39,66,10,5,4,12,4,5,161,11,28,3,4,1,1
4/04/2016,4,6,10,3,5,45,206,8,6,19,2,1,4,5,1,62,38,30,12,13,36,33,11,32,13,2,7,4,74,108,9,5,5,1,3,2,200,5,30,9,4,2,2
4/04/2016,5,23,44,33,114,83,158,40,23,17,78,24,19,6,33,130,202,79,40,43,135,228,46,35,63,24,5,7,137,66,10,10,8,16,22,8,308,11,48,25,3,4,3
4/04/2016,6,64,237,187,760,169,161,86,91,84,518,127,86,18,150,318,804,273,208,123,478,709,234,144,226,59,22,24,373,138,33,93,82,71,64,9,632,70,213,121,35,32,26
4/04/2016,7,323,855,769,2335,372,523,355,254,426,1430,340,210,54,245,1000,1953,657,561,238,1340,2042,643,191,530,53,57,66,1047,237,92,247,143,179,239,42,1866,230,708,407,141,191,95
4/04/2016,8,811,2133,1751,5346,1015,1241,889,654,836,3013,508,337,71,395,1980,4116,1329,871,540,2590,4180,1349,342,755,202,101,142,2108,275,225,569,343,620,683,162,3591,772,1523,672,621,585,308
4/04/2016,9,773,1205,796,2507,1009,1434,1161,897,917,1268,315,194,43,199,1258,1816,535,355,548,1644,2250,835,346,392,261,135,112,1305,300,205,469,260,454,492,158,2744,599,973,356,653,708,307
4/04/2016,10,850,736,457,1024,1352,1584,1764,1361,1179,477,258,212,50,170,1479,1251,343,333,613,1697,1638,542,497,457,228,196,98,1222,386,225,254,203,343,49,192,3003,615,1135,430,668,610,275
4/04/2016,11,1232,644,423,921,1937,2317,2461,2234,1494,454,211,244,68,215,1629,1665,484,365,747,2099,1658,618,656,597,793,272,105,1388,549,243,240,202,305,0,173,3792,634,1468,595,814,676,266
4/04/2016,12,2163,1892,625,1419,3028,4008,3917,3621,2164,1092,485,505,174,693,2166,2359,583,732,1107,2883,2376,1130,1348,847,1530,651,147,1912,1102,578,427,398,891,0,489,4888,1008,2354,1091,989,922,320
4/04/2016,13,2295,1732,677,1773,3272,4204,4267,3897,2317,945,462,471,151,611,2369,2441,649,735,1107,3080,2411,1010,1453,952,1668,600,158,2124,1116,621,399,429,883,0,452,5214,898,2634,1099,1006,965,326
4/04/2016,14,2100,875,492,1038,2776,3729,3486,3054,1617,640,286,310,98,224,2262,2156,563,605,699,2710,1770,572,1101,755,1336,496,118,1850,819,447,275,292,399,0,334,5041,547,2236,980,901,813,301
4/04/2016,15,2033,742,585,1364,2565,3479,3258,2901,1492,793,297,263,96,230,2142,2302,683,597,642,2820,2155,511,1004,754,1050,388,157,1769,776,473,317,226,289,0,269,4882,571,2003,845,876,860,333
4/04/2016,16,2094,842,977,2572,2468,3139,3180,2381,1355,1695,431,264,82,286,2412,2878,926,570,634,3004,3218,653,930,902,1035,407,118,1923,937,388,463,238,266,0,250,5037,530,2312,763,986,1072,363
4/04/2016,17,2558,1376,1965,4322,2746,3251,3192,2108,1408,2677,685,359,88,548,3325,4883,1630,1008,750,3917,4311,1126,1250,1266,1169,525,162,2612,908,374,678,415,433,0,275,5682,631,2965,1183,954,1028,434
4/04/2016,18,1766,815,771,1858,2534,2452,2327,1247,704,1026,358,339,80,330,2186,2914,961,598,637,2839,2518,594,1185,709,1221,588,172,1648,869,426,350,280,236,0,344,4436,353,2325,828,766,750,274
4/04/2016,19,1290,377,268,605,2146,1771,1223,518,417,313,166,190,52,177,1953,1678,485,246,405,1890,1149,276,936,328,1109,627,104,1394,690,385,134,121,158,0,326,3130,260,1586,369,467,446,223
4/04/2016,20,1074,289,135,272,1717,1347,724,370,334,140,108,200,39,102,964,1147,279,172,388,1372,805,227,923,210,955,499,114,572,790,553,124,86,88,0,292,2277,261,1424,253,385,406,156
4/04/2016,21,705,184,107,249,1252,979,435,273,260,81,72,140,54,51,1429,1048,295,165,293,1124,565,185,625,147,619,333,53,1172,641,400,79,110,49,0,260,2006,73,1059,222,167,181,104
4/04/2016,22,403,135,75,131,945,655,228,167,134,43,32,57,19,63,597,621,203,92,205,691,373,133,425,114,451,246,51,410,492,210,59,95,61,0,106,1471,66,584,135,106,101,74
4/04/2016,23,163,77,34,75,399,295,153,65,52,35,11,26,6,7,241,434,176,39,137,455,232,81,280,41,232,106,31,113,172,142,22,24,24,0,63,843,36,251,66,87,50,25
5/04/2016,0,53,22,9,54,161,133,71,38,32,16,7,11,3,5,89,157,48,19,98,182,90,44,157,38,103,34,18,39,128,30,11,5,7,0,9,291,23,128,41,29,20,15
5/04/2016,1,45,12,1,27,68,66,28,14,23,6,9,12,6,3,60,44,24,3,57,81,30,36,97,22,67,31,11,23,61,17,1,11,2,0,15,134,7,52,10,12,12,13
5/04/2016,2,17,10,2,9,31,33,24,20,6,2,1,3,3,2,29,19,9,3,28,21,31,5,47,8,37,6,6,12,53,5,0,4,1,0,5,67,1,43,13,8,2,3
5/04/2016,3,13,12,4,17,27,49,13,14,13,3,3,1,0,0,19,23,7,0,27,21,34,16,60,2,36,3,2,26,22,6,1,2,2,0,4,63,0,37,5,2,3,1
5/04/2016,4,21,4,3,5,27,38,23,19,3,0,6,2,0,2,35,62,25,14,22,54,33,2,25,17,52,15,2,65,17,3,3,6,6,0,4,89,2,31,6,6,1,2
5/04/2016,5,26,53,37,120,80,79,44,30,29,71,28,11,4,34,116,194,73,46,73,144,260,48,42,56,36,9,6,133,24,16,14,20,20,0,9,282,20,64,36,16,5,6
5/04/2016,6,87,258,189,842,172,196,100,86,102,556,113,98,20,162,348,870,269,209,166,496,795,311,134,214,36,22,29,333,61,31,128,89,79,0,19,721,77,261,182,71,60,64
5/04/2016,7,375,901,867,2673,412,535,363,275,405,1631,367,206,44,313,1010,1925,655,603,389,1324,2126,707,220,633,96,79,103,1013,253,101,302,172,220,0,49,1723,252,710,415,182,169,99
5/04/2016,8,904,2129,1852,5459,1053,1214,949,627,1003,3093,547,337,78,404,2016,4323,1343,805,742,2670,4102,1420,341,723,223,116,187,2181,333,195,562,340,595,0,145,3563,791,1512,668,674,705,336
5/04/2016,9,688,1170,854,2398,1030,1350,1149,775,790,1366,367,189,30,193,1318,1878,573,350,752,1625,2242,802,385,391,140,114,176,1412,315,177,409,244,416,0,136,2802,590,1136,390,712,784,311
5/04/2016,10,1003,762,450,1065,1322,1666,1680,1211,1144,465,279,120,35,160,1636,1297,329,371,1007,1579,1703,526,525,388,387,221,181,1677,371,202,224,176,355,0,127,3004,533,1081,454,697,661,255
5/04/2016,11,1254,733,434,969,1983,2431,2610,1860,1457,546,277,170,68,219,1708,1606,421,422,1174,1978,1570,511,661,514,639,302,210,1564,558,279,198,185,292,0,214,4012,565,1578,616,807,733,295
5/04/2016,12,2241,1758,748,1525,3062,3832,3755,3159,2214,1200,552,365,168,621,2341,2447,690,697,1776,2793,2618,1057,1220,749,1309,699,280,2298,1068,533,384,392,964,0,436,4835,901,2394,932,938,899,247
5/04/2016,13,2249,1835,774,1908,3134,4185,4202,3698,2471,1101,579,355,149,561,2361,2586,613,852,1625,2972,2416,1073,1358,840,1292,578,246,2169,1129,595,415,505,992,0,477,5056,1014,2676,917,968,881,338
5/04/2016,14,2023,868,466,1236,2714,3670,3282,2738,1630,563,309,245,86,210,1994,2007,543,589,1136,2693,1880,528,1011,656,1021,486,185,1683,750,553,185,260,388,0,278,4712,612,2467,908,838,797,340
5/04/2016,15,1883,722,555,1456,2351,3291,3067,2536,1370,820,311,260,99,210,2100,2357,620,459,690,2880,2162,532,867,715,936,363,150,1692,676,537,241,263,251,0,229,4899,553,2365,717,867,905,320
5/04/2016,16,2320,753,1094,2525,2631,3199,2957,2466,1284,1693,517,272,72,294,2336,3031,926,635,604,2990,3244,734,929,927,932,423,132,1958,711,289,393,277,298,0,213,4915,479,2430,712,831,949,343
5/04/2016,17,2462,1417,1873,4134,2832,3446,3209,2268,1309,2680,720,466,97,546,3525,5545,1617,1020,719,3799,4324,1079,1245,1289,1095,563,194,2823,867,411,593,427,437,0,340,5881,610,3430,1191,1020,1033,428
5/04/2016,18,2064,846,813,1871,2776,3243,2597,1577,961,1052,413,395,90,350,2800,3031,946,702,665,2930,2679,585,1259,865,1294,925,196,2005,943,531,345,296,295,0,306,4832,393,3111,915,892,899,330
5/04/2016,19,1596,409,295,615,2412,2330,1307,652,565,285,208,284,82,166,2197,1646,514,316,458,2052,1321,283,1142,392,1195,854,116,1895,923,600,113,166,176,0,314,3728,214,2617,540,508,430,216
5/04/2016,20,1134,327,147,326,1986,1981,814,392,383,161,105,193,62,107,1700,1180,384,204,446,1406,883,175,944,323,924,793,119,1396,687,539,90,141,99,0,341,2953,224,2100,304,344,365,142
5/04/2016,21,868,204,119,241,1444,1867,478,386,401,97,83,123,31,59,1924,1112,340,166,278,1202,654,139,707,294,787,619,85,1470,610,514,80,125,93,0,260,2688,122,2280,335,212,217,104
5/04/2016,22,427,143,112,153,932,871,295,172,195,49,27,78,28,32,829,819,230,72,209,805,535,123,596,154,517,391,39,389,436,332,66,121,52,0,142,1724,85,873,171,123,108,73
5/04/2016,23,258,83,48,103,532,849,175,103,100,33,14,36,14,15,390,548,208,43,149,521,218,70,309,93,232,177,42,172,305,180,44,82,26,0,50,1137,49,470,90,89,65,30
6/04/2016,0,128,33,12,47,206,237,53,55,33,17,7,11,3,7,171,195,66,36,114,261,116,27,182,27,103,130,28,63,129,59,7,21,14,0,21,391,24,152,41,33,23,26
6/04/2016,1,77,12,7,23,131,257,42,33,34,3,9,4,1,3,54,44,22,14,72,80,22,15,85,19,62,21,7,34,111,30,6,11,2,0,6,218,4,65,27,5,9,6
6/04/2016,2,28,8,1,8,68,118,16,20,8,1,4,5,6,1,39,18,8,17,50,32,61,12,71,9,43,7,4,16,38,9,1,5,3,0,4,145,2,37,10,4,2,1
6/04/2016,3,14,8,9,12,63,31,21,6,12,3,1,3,0,3,37,15,9,7,33,28,15,5,42,6,25,13,5,32,39,5,2,3,0,0,7,91,3,7,8,8,1,1
6/04/2016,4,19,8,3,10,33,37,8,36,16,2,0,0,3,1,48,39,22,18,31,33,34,2,41,22,13,12,5,43,26,8,6,9,1,0,1,120,7,7,4,5,0,1
6/04/2016,5,25,75,31,137,49,110,39,20,42,55,15,9,1,32,142,210,100,25,41,136,262,40,27,57,11,10,8,107,13,6,13,16,10,0,11,351,27,34,20,6,2,2
6/04/2016,6,75,352,197,1115,161,219,93,83,142,520,96,28,4,133,383,913,293,122,98,495,1010,256,145,167,44,16,23,221,62,23,100,80,67,0,14,645,96,124,81,40,35,23
6/04/2016,7,301,1089,899,3577,299,491,349,282,491,1286,311,75,18,250,1069,1770,634,211,165,1219,2537,674,153,279,56,47,47,577,220,80,310,104,186,0,46,1669,315,545,156,113,180,70
6/04/2016,8,833,2632,2080,6952,698,1097,980,600,1124,2603,488,114,30,416,2503,4003,1661,286,440,2490,4690,1627,260,483,259,101,145,1449,349,198,773,205,546,0,163,3390,1058,1284,243,451,701,244
6/04/2016,9,701,1496,1040,3496,680,1188,1038,726,885,1264,335,77,8,192,1506,1940,630,97,449,1467,2805,962,330,311,241,102,147,912,406,167,461,193,459,0,99,2518,662,781,124,649,848,271
6/04/2016,10,731,786,490,1297,907,1578,1307,1260,1113,477,233,46,2,125,1463,1167,350,84,502,1249,1920,527,369,227,305,173,126,1109,398,182,219,90,280,0,109,2639,680,602,125,560,692,241
6/04/2016,11,1033,741,432,1094,1339,2148,2048,1640,1295,576,198,60,11,159,1593,1273,382,76,615,1556,1685,485,505,315,693,289,161,1308,659,191,220,134,263,0,169,3122,894,816,166,736,768,263
